Posizione,Nome,Codice,Lotto,Scadenza,Quantita,Annotazioni
A1.1,FARINA 0 da 5kg,F-0-5,15225,28/5/2026,87,
A1.2,,,,,0,
A2.1,FARINA 0 da 10kg,F-0-10,15225,28/5/2026,54,
A2.2,FARINA 0 da 10kg,F-0-10,15225,28/5/2026,66,
A3.1,FARINA 00 da 5kg,F-00-5,44325,28/2/2026,13,
A3.2,FARINA 0 da 10kg,F-0-10,15225,28/5/2026,66,
A3.3,,,,,0,
A4.1,FARINA 00 da 10kg,F-00-10,54825,28/4/2026,15,
A4.2,FARINA 0 SP35 da 25Kg,F-0-SP35-25,54925,28/5/2026,28,
A4.3,,,,,0,
A5.1,,,,,0,
A5.2,,,,,0,
A6.1,,,,,0,
A6.2,FARINA TIPO2 da 5kg,FM-T2-5,34925,28/4/2026,5,
A7.1,FARINA 00 PASTA da 25kg,F-00-PA-25,,28/5/2026,6,00 rinforzata
A7.2,FARINA 00 SFOGLIA da 25kg,F-00-SF-25,,,0,
A8.1,FARINA 00 SP38 da 25kg,F-00-SP38-25,15225,28/5/2026,1,
A8.2,,,,,0,
B1.1,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,28,
B1.2,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,28,
B2.1,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,28,
B2.2,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,28,
B3.1,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,15,
B3.2,FARINA 0 da 25kg,F-0-25,15225,28/5/2026,28,
B3.3,,,,,0,
B4.1,,,,,0,
B4.2,,,,,0,
B4.3,,,,,0,
B5.1,Sconosciuto,FARINA 0D,54925,28/5/2026,8,
B5.2,Sconosciuto,FARINA 0D,54925,28/5/2026,28,
B6.1,Sconosciuto,FARINA 00 da 25kg,54825,28/4/2026,12,
B6.2,Sconosciuto,FARINA 0D,54925,28/5/2026,28,
B7.1,FARINA 0 SP50 da 25kg,F-0-SP50-25,54925,28/5/2026,7,
B7.2,,,,,0,
B8.1,FARINA 0 SP35 da 25Kg,F-0-SP35-25,54925,28/5/2026,12,
B8.2,,,,,0,
B9.1,FARINA INTEGRALE P da 25kg,FM-INT-P-25,15125,28/5/2026,3,
B9.1,FARINA INTEGRALE P da 5 kg,FM-INT-P-5,35125,28/5/2026,3,
B9.2,,,,,0,
B10.1,FARINA TIPO1 da 5kg,FM-T1-5,14925,28/4/2026,1,
B10.2,,,,,0,
C1.1,Sconosciuto,fiocchi avena,,,1,
C1.1,FARINA DI GRANO SARACENO da 25kg,F-GSR-25,,,1,
C1.1,FARINA di SEGALE da 25Kg,F-SEG-25,,,2,
C1.2,,,,,0,
Pos.,Nome,Codice,Lotto,Scadenza,0,Annotazioni
C1.3,,,,,0,
C2.1,FARINA DI AVENA da 25kg,F-AVN-25,,,2,
C2.1,Sconosciuto,FARINA miglio,,,1,
C2.1,FARINA di CANAPA da 20Kg,F-CAN-20,,,1,
C2.1,Sconosciuto,farina ceci,,,1,
C2.1,Sconosciuto,FARINA orzo,,,1,più 3kg
C2.2,,,,,0,
C2.3,,,,,0,
C3.1,FARINA DI FARRO BIANCO da 25kg,F-FARR-BIA-25,,,13,
C3.2,,,,,0,
C3.3,,,,,0,
C4.1,FARINA FARRO INTEGRALE da 25kg,F-FARR-INT-25,,,3,
C4.2,SEMOLA RIMACINATA da 5kg,GD-SEM-RIM-5,,,24,
C4.3,,,,,0,
C5.1,FARINA 0 P20 da 10kg,F-0-P20-10,44725,28/4/2026,50,
C5.2,,,,,0,
C6.1,,,,,0,
C6.2,,,,,0,
C7.1,SEMOLA da 25kg,GD-SEM-25,,,3,
